Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
383,Lindy Waters III,27,DET,SG,13,0,6.8,0.8,2.2,.357,0.7,1.7,.409,0.1,0.5,.167,.518,0.0,0.0,,0.3,0.3,0.6,0.7,0.3,0.0,0.2,0.5,2.2,,waterli01
384,Taylor Hendricks,21,UTA,PF,3,3,25.0,1.3,6.0,.222,1.0,4.0,.250,0.3,2.0,.167,.306,1.0,1.3,.750,1.7,3.3,5.0,0.7,1.7,1.3,0.7,2.7,4.7,,hendrta01
385,Drew Eubanks,27,2TM,C,61,4,12.2,1.9,3.2,.593,0.0,0.1,.500,1.8,3.1,.596,.601,0.8,1.2,.662,1.0,2.7,3.7,0.9,0.2,0.6,0.7,1.0,4.6,,eubandr01
385,Drew Eubanks,27,UTA,C,37,4,15.4,2.4,3.9,.607,0.1,0.1,.600,2.3,3.8,.607,.617,1.0,1.5,.632,1.1,3.5,4.5,1.2,0.3,0.9,0.8,1.2,5.8,,eubandr01
385,Drew Eubanks,27,LAC,C,24,0,7.4,1.1,2.0,.551,0.0,0.0,.000,1.1,2.0,.563,.551,0.5,0.6,.786,0.8,1.6,2.4,0.4,0.1,0.3,0.4,0.7,2.7,,eubandr01
386,Jock Landale,29,HOU,C,41,3,12.0,1.9,3.6,.517,0.2,0.6,.400,1.6,3.0,.541,.551,0.7,1.0,.675,1.3,1.9,3.3,0.9,0.3,0.2,0.5,1.2,4.6,,landajo01
387,Pelle Larsson,23,MIA,SG,55,8,14.2,1.6,3.7,.438,0.6,1.7,.337,1.0,2.0,.528,.517,0.7,1.1,.672,0.5,1.2,1.7,1.2,0.6,0.1,0.4,1.7,4.6,,larsspe01
388,Julian Phillips,21,CHI,SF,78,4,14.1,1.6,3.6,.444,0.6,1.9,.329,1.0,1.7,.577,.532,0.8,1.0,.789,0.8,1.2,2.1,0.5,0.5,0.2,0.3,1.4,4.6,,phillju01
389,Cody Williams,20,UTA,SG,50,21,21.2,1.7,5.1,.323,0.7,2.7,.259,1.0,2.4,.393,.391,0.6,0.8,.725,0.5,1.7,2.3,1.2,0.5,0.3,0.9,1.9,4.6,,willico04
390,Colin Castleton,24,3TM,C,25,4,16.1,1.6,3.6,.451,0.1,0.6,.125,1.6,3.0,.520,.462,1.2,1.5,.784,2.1,2.7,4.8,1.1,0.3,0.4,0.9,1.8,4.5,,castlco01
390,Colin Castleton,24,MEM,C,10,0,4.6,0.2,1.0,.200,0.0,0.4,.000,0.2,0.6,.333,.200,1.0,1.1,.909,0.3,0.6,0.9,0.0,0.1,0.1,0.1,0.6,1.4,,castlco01
390,Colin Castleton,24,TOR,C,10,4,25.9,2.7,5.7,.474,0.2,0.8,.250,2.5,4.9,.510,.491,1.3,1.7,.765,3.3,4.1,7.4,1.8,0.6,0.8,2.1,2.6,6.9,,castlco01
390,Colin Castleton,24,PHI,C,5,0,19.6,2.4,4.8,.500,0.0,0.8,.000,2.4,4.0,.600,.500,1.2,1.8,.667,3.2,4.2,7.4,2.0,0.2,0.2,0.2,2.6,6.0,,castlco01
391,Rob Dillingham,20,MIN,PG,49,1,10.5,1.9,4.3,.441,0.5,1.5,.338,1.4,2.8,.496,.500,0.2,0.3,.533,0.2,0.8,1.0,2.0,0.4,0.0,1.1,0.8,4.5,,dilliro01
392,Kevon Looney,28,GSW,C,75,6,15.0,1.9,3.7,.509,0.0,0.1,.400,1.8,3.6,.511,.513,0.7,1.3,.566,2.5,3.7,6.1,1.5,0.6,0.5,0.5,2.1,4.5,,looneke01
393,Mason Plumlee,34,PHO,C,73,20,17.5,1.7,2.7,.621,0.0,0.0,.000,1.7,2.7,.631,.621,1.1,1.8,.648,1.6,4.6,6.2,1.8,0.5,0.6,0.8,2.1,4.5,,plumlma01
394,Reed Sheppard,20,HOU,PG,51,3,12.5,1.6,4.6,.357,0.9,2.7,.343,0.7,1.9,.379,.460,0.3,0.3,.813,0.3,1.2,1.5,1.3,0.7,0.3,0.7,1.0,4.5,,sheppre01
395,Charles Bassey,24,SAS,C,36,1,10.4,1.9,3.3,.581,0.0,0.0,,1.9,3.3,.581,.581,0.6,0.9,.636,1.6,2.7,4.2,0.5,0.4,0.8,0.6,1.4,4.4,,bassech01
396,Reggie Jackson,34,PHI,PG,31,1,12.4,1.7,4.3,.391,0.8,2.4,.338,0.9,1.9,.458,.485,0.2,0.3,.778,0.3,1.1,1.4,1.5,0.5,0.1,0.5,1.1,4.4,,jacksre01
397,Dalen Terry,22,CHI,SG,72,5,13.5,1.6,3.6,.452,0.5,1.4,.366,1.1,2.2,.506,.523,0.7,1.0,.710,0.5,1.2,1.7,1.3,0.6,0.2,0.7,1.6,4.4,,terryda01
398,Torrey Craig,34,2TM,SF,25,3,11.8,1.5,3.5,.437,1.0,2.6,.375,0.6,0.9,.609,.575,0.3,0.5,.667,1.1,1.7,2.8,0.6,0.3,0.5,0.2,1.3,4.3,,craigto01
398,Torrey Craig,34,CHI,SF,9,1,12.6,2.4,5.0,.489,1.7,3.9,.429,0.8,1.1,.700,.656,0.3,0.4,.750,0.9,1.9,2.8,0.6,0.2,0.1,0.0,1.7,6.9,,craigto01
398,Torrey Craig,34,BOS,SF,16,2,11.4,1.0,2.6,.381,0.6,1.8,.310,0.4,0.8,.538,.488,0.3,0.5,.625,1.2,1.6,2.8,0.7,0.3,0.7,0.4,1.1,2.9,,craigto01
399,Mo Bamba,26,2TM,C,32,2,12.9,1.6,3.5,.464,0.5,1.7,.278,1.2,1.8,.638,.531,0.6,0.8,.704,1.0,3.5,4.5,0.6,0.3,1.0,0.6,1.8,4.3,,bambamo01
399,Mo Bamba,26,LAC,C,28,2,12.6,1.7,3.7,.466,0.5,1.8,.300,1.2,1.9,.623,.539,0.6,0.9,.680,0.9,3.4,4.3,0.6,0.3,1.0,0.7,1.8,4.6,,bambamo01
399,Mo Bamba,26,NOP,C,4,0,15.3,1.0,2.3,.444,0.0,1.0,.000,1.0,1.3,.800,.444,0.5,0.5,1.000,1.5,4.8,6.3,0.5,0.0,0.8,0.3,1.8,2.5,,bambamo01
400,Pat Connaughton,32,MIL,SG,40,0,14.0,1.7,3.7,.453,0.5,1.7,.304,1.2,2.0,.582,.524,0.5,0.6,.818,0.5,2.0,2.5,1.6,0.2,0.3,0.6,1.1,4.3,,connapa01
401,Jett Howard,21,ORL,SF,59,0,11.3,1.5,4.2,.365,0.9,3.0,.296,0.6,1.2,.543,.472,0.3,0.4,.696,0.3,0.8,1.2,0.7,0.2,0.2,0.5,1.1,4.3,,howarje01
402,Terrence Shannon Jr.,24,MIN,SG,32,1,10.6,1.7,3.6,.482,0.3,1.0,.355,1.4,2.6,.530,.531,0.5,0.7,.810,0.3,1.2,1.5,1.0,0.2,0.2,0.5,0.8,4.3,,shannte01
403,Daniel Theis,32,NOP,C,38,9,16.3,1.6,3.4,.473,0.2,1.0,.243,1.4,2.4,.565,.508,0.8,1.0,.838,1.2,3.2,4.3,1.6,0.5,0.5,0.7,1.8,4.3,,theisda01
404,Jevon Carter,29,CHI,PG,35,1,8.5,1.5,3.9,.387,1.0,2.8,.347,0.5,1.1,.487,.511,0.2,0.3,.800,0.1,0.9,1.0,1.1,0.4,0.1,0.3,0.4,4.2,,carteje01
405,Jaylen Clark,23,MIN,SG,39,4,13.3,1.4,3.1,.471,0.6,1.3,.431,0.9,1.7,.500,.563,0.7,0.9,.784,0.7,0.7,1.4,0.7,0.9,0.1,0.2,1.6,4.2,,clarkja02
406,Kessler Edwards,24,DAL,SF,40,18,15.2,1.7,3.4,.496,0.6,1.4,.407,1.1,2.0,.556,.578,0.3,0.3,.923,0.6,2.3,2.9,1.1,0.5,0.5,0.4,1.6,4.2,,edwarke02
407,Jalen Pickett,25,DEN,SG,48,4,13.5,1.6,3.7,.438,0.8,2.1,.404,0.8,1.6,.481,.551,0.1,0.2,.750,0.3,1.1,1.5,2.2,0.4,0.1,0.5,0.8,4.2,,pickeja02
408,Micah Potter,26,UTA,C,37,10,18.3,1.5,3.5,.422,0.8,2.5,.323,0.6,0.9,.686,.539,0.5,0.5,.850,1.1,3.2,4.3,0.7,0.4,0.4,0.8,1.3,4.2,,pottemi01
409,Duop Reath,28,POR,C,46,0,10.2,1.5,3.6,.422,0.7,2.3,.321,0.8,1.3,.600,.524,0.4,0.5,.909,1.0,1.0,2.0,0.6,0.3,0.3,0.3,0.9,4.2,,reathdu01
410,Maxwell Lewis,22,2TM,SF,28,1,11.7,1.6,3.9,.417,0.7,1.8,.380,0.9,2.1,.448,.505,0.3,0.4,.700,0.6,1.3,2.0,0.7,0.3,0.3,0.5,1.0,4.1,,lewisma05
410,Maxwell Lewis,22,LAL,SF,7,0,4.1,0.3,0.9,.333,0.0,0.0,,0.3,0.9,.333,.333,0.0,0.0,,0.3,0.0,0.3,0.3,0.1,0.0,0.3,0.1,0.6,,lewisma05
410,Maxwell Lewis,22,BRK,SF,21,1,14.2,2.0,4.9,.422,0.9,2.4,.380,1.1,2.5,.462,.515,0.3,0.5,.700,0.8,1.8,2.5,0.8,0.4,0.3,0.6,1.3,5.3,,lewisma05
411,Wendell Moore Jr.,23,2TM,SG,35,1,13.9,1.6,3.5,.463,0.3,1.1,.316,1.3,2.4,.530,.512,0.5,0.6,.818,0.8,1.8,2.6,1.1,0.6,0.1,0.8,0.9,4.1,,moorewe01
411,Wendell Moore Jr.,23,DET,SG,20,1,11.0,1.2,2.5,.460,0.2,0.7,.286,1.0,1.8,.528,.500,0.7,0.7,.929,0.6,1.7,2.2,1.2,0.5,0.2,0.5,0.8,3.2,,moorewe01
411,Wendell Moore Jr.,23,CHO,SG,15,0,17.7,2.2,4.7,.465,0.5,1.6,.333,1.7,3.1,.532,.521,0.3,0.5,.625,1.1,2.1,3.2,1.1,0.7,0.1,1.2,1.0,5.3,,moorewe01
412,Oso Ighodaro,22,PHO,PF,60,6,17.0,1.8,3.0,.600,0.0,0.0,.000,1.8,3.0,.607,.600,0.5,0.8,.580,1.1,2.6,3.6,1.1,0.5,0.5,0.6,1.7,4.1,,ighodos01
413,Jordan Miller,25,LAC,SF,37,0,11.4,1.6,3.6,.433,0.2,1.0,.211,1.4,2.6,.521,.463,0.8,0.9,.800,0.6,0.9,1.6,0.9,0.5,0.1,0.7,0.7,4.1,,millejo02
414,Kris Murray,24,POR,SF,68,5,14.9,1.7,3.9,.428,0.4,1.7,.228,1.3,2.2,.580,.477,0.4,0.8,.455,1.0,1.5,2.5,1.0,0.5,0.2,0.6,1.0,4.1,,murrakr01
415,Gui Santos,22,GSW,PF,56,2,13.6,1.5,3.2,.458,0.6,1.8,.330,0.9,1.4,.632,.553,0.5,0.8,.690,1.3,1.8,3.1,1.4,0.4,0.2,0.8,1.6,4.1,,santogu01
416,Jarred Vanderbilt,25,LAL,PF,36,2,16.1,1.6,3.4,.488,0.3,0.9,.281,1.4,2.5,.562,.525,0.6,1.0,.556,1.9,3.2,5.1,1.1,1.0,0.3,0.8,1.9,4.1,,vandeja01
417,Nicolas Batum,36,LAC,PF,78,8,17.5,1.3,3.1,.437,1.1,2.6,.433,0.2,0.4,.457,.622,0.2,0.3,.810,0.6,2.2,2.8,1.1,0.7,0.5,0.4,1.4,4.0,,batumni01
418,Malachi Flynn,26,CHO,PG,4,0,11.0,1.3,3.3,.385,0.3,1.0,.250,1.0,2.3,.444,.423,1.3,1.5,.833,0.8,1.0,1.8,1.8,0.8,0.0,1.0,1.0,4.0,,flynnma01
419,Caleb Houstan,22,ORL,SF,57,6,13.2,1.3,3.2,.417,1.1,2.7,.397,0.2,0.4,.542,.589,0.2,0.3,.933,0.3,0.9,1.2,0.6,0.4,0.1,0.2,1.1,4.0,,houstca01
420,Paul Reed,25,DET,C,44,0,9.4,1.5,3.1,.500,0.2,0.6,.286,1.4,2.5,.556,.529,0.7,1.0,.762,0.9,1.8,2.7,0.9,0.9,0.5,0.6,1.6,4.0,,reedpa01
421,Josh Richardson,31,MIA,SG,8,0,18.8,1.4,4.8,.289,0.8,2.8,.273,0.6,2.0,.313,.368,0.5,0.5,1.000,0.8,0.8,1.5,1.5,1.0,0.1,1.0,2.1,4.0,,richajo01
422,Steven Adams,31,HOU,C,57,3,13.6,1.6,2.9,.546,0.0,0.0,.000,1.6,2.8,.553,.546,0.8,1.6,.462,2.9,2.8,5.6,1.1,0.4,0.5,0.9,1.0,3.9,,adamsst01
423,Dominick Barlow,21,ATL,SF,34,3,10.0,1.6,3.1,.519,0.2,0.7,.280,1.4,2.3,.595,.553,0.5,0.8,.667,1.0,1.4,2.4,0.5,0.3,0.5,0.1,1.3,3.9,,barlodo01
424,Kyle Lowry,38,PHI,PG,35,12,18.8,1.2,3.3,.350,0.8,2.5,.330,0.3,0.8,.414,.474,0.8,0.9,.818,0.3,1.6,1.9,2.7,0.9,0.3,0.6,1.8,3.9,,lowryky01
425,Olivier-Maxence Prosper,22,DAL,PF,52,4,11.2,1.3,3.3,.402,0.2,1.0,.235,1.1,2.4,.472,.437,0.9,1.5,.645,0.8,1.6,2.4,0.8,0.5,0.1,0.3,0.5,3.9,,prospol01
426,Patty Mills,36,2TM,PG,29,0,11.1,1.2,3.3,.375,0.9,2.6,.347,0.3,0.7,.476,.510,0.4,0.5,.929,0.1,0.6,0.8,0.9,0.4,0.1,0.6,0.8,3.8,,millspa02
426,Patty Mills,36,UTA,PG,17,0,15.3,1.5,4.5,.342,1.0,3.4,.298,0.5,1.1,.474,.454,0.3,0.3,1.000,0.2,1.1,1.2,1.2,0.7,0.2,0.9,0.7,4.4,,millspa02
426,Patty Mills,36,LAC,PG,12,0,5.1,0.8,1.7,.500,0.8,1.5,.500,0.1,0.2,.500,.725,0.7,0.8,.889,0.1,0.0,0.1,0.4,0.1,0.0,0.1,1.0,3.1,,millspa02
427,Devin Carter,22,SAC,PG,35,0,10.7,1.3,3.4,.375,0.5,1.7,.288,0.8,1.7,.459,.446,0.7,1.3,.591,0.5,1.5,2.0,1.1,0.6,0.1,0.5,1.1,3.8,,cartede02
428,Ousmane Dieng,21,OKC,C,37,1,10.9,1.5,3.4,.432,0.6,1.9,.324,0.8,1.5,.574,.524,0.3,0.4,.688,0.5,1.7,2.2,0.8,0.5,0.2,0.5,0.9,3.8,,diengou01
429,Marvin Bagley III,25,2TM,PF,30,1,7.8,1.5,2.9,.500,0.1,0.6,.176,1.4,2.4,.577,.517,0.7,1.0,.645,1.1,1.3,2.4,0.3,0.3,0.3,0.4,0.5,3.7,,baglema01
429,Marvin Bagley III,25,WAS,C,19,1,8.7,2.0,3.7,.535,0.1,0.5,.200,1.9,3.2,.590,.549,0.8,1.2,.652,1.4,1.5,2.9,0.4,0.4,0.3,0.6,0.6,4.9,,baglema01
429,Marvin Bagley III,25,MEM,PF,11,0,6.2,0.5,1.5,.353,0.1,0.6,.143,0.5,0.9,.500,.382,0.5,0.7,.625,0.5,0.9,1.5,0.1,0.1,0.3,0.0,0.4,1.6,,baglema01
430,DeAndre Jordan,36,DEN,C,55,5,12.4,1.6,2.5,.650,0.0,0.0,,1.6,2.5,.650,.650,0.5,1.2,.422,1.5,3.6,5.1,1.0,0.3,0.5,0.7,1.3,3.7,,jordade01
431,Jackson Rowe,28,GSW,PF,6,0,8.7,1.3,2.8,.471,0.5,1.7,.300,0.8,1.2,.714,.559,0.5,1.0,.500,0.5,1.3,1.8,0.7,0.7,0.0,0.2,0.7,3.7,,roweja01
432,Blake Wesley,21,SAS,SG,57,0,11.6,1.4,3.2,.436,0.3,1.0,.304,1.1,2.2,.496,.483,0.6,1.0,.596,0.3,0.8,1.1,1.9,0.6,0.1,0.9,0.8,3.7,,weslebl01
433,Colby Jones,22,2TM,SG,38,0,12.4,1.3,2.9,.450,0.4,1.2,.356,0.9,1.7,.515,.523,0.6,0.8,.677,0.5,1.5,2.0,1.1,0.7,0.3,0.6,0.9,3.6,,jonesco02
433,Colby Jones,22,SAC,SG,24,0,5.4,0.5,1.1,.423,0.2,0.4,.400,0.3,0.7,.438,.500,0.0,0.0,,0.3,0.6,1.0,0.3,0.3,0.3,0.3,0.5,1.1,,jonesco02
433,Colby Jones,22,WAS,SG,14,0,24.5,2.8,6.1,.459,0.9,2.5,.343,1.9,3.6,.540,.529,1.5,2.2,.677,0.9,3.0,3.9,2.4,1.4,0.4,1.0,1.6,7.9,,jonesco02
434,Elfrid Payton,30,2TM,PG,23,8,21.4,1.7,5.1,.333,0.0,0.2,.000,1.7,4.9,.348,.333,0.2,0.3,.571,0.6,2.7,3.3,7.1,1.0,0.4,2.6,1.5,3.6,,paytoel01
434,Elfrid Payton,30,NOP,PG,17,6,21.8,2.1,5.6,.375,0.0,0.3,.000,2.1,5.4,.396,.375,0.2,0.4,.571,0.8,3.0,3.8,8.4,1.1,0.4,3.1,1.4,4.5,,paytoel01
434,Elfrid Payton,30,CHO,PG,6,2,20.5,0.5,3.5,.143,0.0,0.0,,0.5,3.5,.143,.143,0.0,0.0,,0.2,2.0,2.2,3.3,1.0,0.5,1.2,2.0,1.0,,paytoel01
435,JT Thor,22,2TM,PF,20,0,12.5,1.3,3.0,.424,0.3,1.1,.286,1.0,1.9,.500,.475,0.8,1.1,.682,1.0,1.4,2.4,0.3,0.4,0.5,0.5,0.9,3.6,,thorjt01
435,JT Thor,22,CLE,PF,9,0,4.7,1.0,1.7,.600,0.3,0.7,.500,0.7,1.0,.667,.700,0.8,0.9,.875,0.3,0.3,0.7,0.1,0.2,0.3,0.7,0.7,3.1,,thorjt01
435,JT Thor,22,WAS,PF,11,0,18.8,1.5,4.0,.364,0.3,1.4,.200,1.2,2.6,.448,.398,0.7,1.3,.571,1.5,2.3,3.8,0.5,0.5,0.5,0.3,1.0,3.9,,thorjt01
436,Tony Bradley,27,IND,C,13,0,6.5,1.8,2.5,.719,0.1,0.2,.333,1.7,2.2,.759,.734,0.0,0.2,.000,1.0,1.2,2.2,0.4,0.2,0.3,0.3,0.7,3.6,,bradlto01
437,Jae'Sean Tate,29,HOU,SF,52,2,11.3,1.3,2.8,.473,0.3,0.9,.348,1.0,2.0,.529,.527,0.6,0.9,.681,1.0,1.3,2.3,0.9,0.5,0.1,0.4,1.6,3.6,,tateja01
438,Luka Garza,26,MIN,C,39,0,5.6,1.3,2.7,.495,0.3,0.9,.278,1.1,1.8,.609,.543,0.6,0.9,.686,0.8,0.6,1.4,0.3,0.2,0.1,0.3,0.7,3.5,,garzalu01
439,Cory Joseph,33,ORL,PG,50,16,12.2,1.2,3.1,.403,0.8,2.1,.364,0.5,0.9,.489,.529,0.3,0.4,.778,0.3,1.1,1.5,1.4,0.5,0.1,0.4,1.0,3.5,,josepco01
440,Dario Šarić,30,DEN,C,16,4,13.1,1.3,3.6,.362,0.4,1.6,.269,0.9,2.0,.438,.422,0.4,0.6,.700,0.9,2.3,3.1,1.4,0.4,0.1,0.9,1.2,3.5,,saricda01
441,Baylor Scheierman,24,BOS,SG,30,1,11.6,1.2,3.2,.385,0.8,2.4,.333,0.4,0.8,.542,.510,0.3,0.3,.800,0.6,1.4,1.9,1.0,0.5,0.1,0.4,0.7,3.5,,scheiba01
442,Cam Spencer,24,MEM,SG,24,0,9.0,1.1,2.6,.413,0.6,1.7,.350,0.5,1.0,.522,.524,0.7,0.7,1.000,0.4,0.8,1.2,1.1,0.3,0.0,0.3,0.8,3.5,,spencca01
443,Bruno Fernando,26,TOR,C,17,2,8.6,1.5,2.9,.531,0.0,0.0,,1.5,2.9,.531,.531,0.4,0.5,.750,1.2,1.8,3.0,1.1,0.2,0.5,0.8,1.6,3.4,,fernabr01
444,Isaac Jones,24,SAC,PF,39,0,7.6,1.4,2.1,.646,0.1,0.2,.375,1.3,1.9,.676,.665,0.6,0.9,.639,0.5,0.9,1.4,0.3,0.1,0.2,0.4,0.8,3.4,,jonesis01
445,Doug McDermott,33,SAC,SF,41,3,8.0,1.2,2.7,.440,1.0,2.3,.442,0.1,0.3,.429,.633,0.1,0.1,.600,0.1,0.5,0.5,0.1,0.1,0.0,0.1,0.7,3.4,,mcderdo01
446,Craig Porter Jr.,24,CLE,PG,50,0,9.4,1.3,2.4,.537,0.3,0.8,.436,1.0,1.6,.585,.607,0.4,0.6,.750,0.4,0.9,1.2,1.3,0.3,0.3,0.6,0.5,3.4,,portecr01
447,Andre Jackson Jr.,23,MIL,SG,66,43,14.3,1.4,2.9,.471,0.4,1.1,.387,0.9,1.8,.526,.547,0.2,0.4,.500,1.0,1.7,2.7,1.2,0.5,0.2,0.8,1.7,3.3,,jacksan01
448,Kevin Knox,25,GSW,SF,14,0,6.0,1.3,2.6,.500,0.3,1.1,.267,1.0,1.5,.667,.556,0.4,0.6,.750,0.5,0.7,1.2,0.4,0.1,0.3,0.3,0.4,3.3,,knoxke01
449,Damion Lee,32,PHO,SG,24,0,5.8,1.0,2.9,.357,0.4,1.5,.250,0.7,1.4,.471,.421,0.8,0.9,.952,0.1,0.7,0.8,0.5,0.3,0.0,0.4,0.3,3.3,,leeda03
450,Zeke Nnaji,24,DEN,PF,56,4,10.8,1.3,2.5,.500,0.3,0.9,.333,0.9,1.6,.596,.561,0.5,0.8,.619,0.6,1.0,1.6,0.4,0.4,0.7,0.3,1.1,3.3,,nnajize01
451,Markieff Morris,35,2TM,PF,14,1,9.4,1.1,4.3,.267,0.6,2.4,.242,0.6,1.9,.296,.333,0.4,0.4,.833,0.2,1.1,1.4,1.1,0.1,0.1,0.2,0.9,3.2,,morrima02
451,Markieff Morris,35,DAL,PF,7,0,5.9,0.7,3.1,.227,0.3,1.9,.154,0.4,1.3,.333,.273,0.0,0.0,,0.0,1.1,1.1,0.6,0.1,0.1,0.3,0.3,1.7,,morrima02
451,Markieff Morris,35,LAL,PF,7,1,13.0,1.6,5.4,.289,0.9,2.9,.300,0.7,2.6,.278,.368,0.7,0.9,.833,0.4,1.1,1.6,1.6,0.0,0.1,0.1,1.4,4.7,,morrima02
452,Elijah Harkless,24,UTA,SG,10,0,13.8,1.1,3.5,.314,0.7,2.5,.280,0.4,1.0,.400,.414,0.3,0.6,.500,0.9,1.2,2.1,0.8,1.0,0.1,0.3,1.8,3.2,,harklej01
453,Cam Reddish,25,LAL,SF,33,8,17.8,1.2,2.8,.404,0.4,1.4,.277,0.8,1.4,.532,.473,0.5,0.8,.615,0.5,1.5,2.0,0.7,1.0,0.3,0.4,1.3,3.2,,reddica01
454,Delon Wright,32,2TM,PG,39,7,15.7,1.1,3.2,.344,0.5,1.8,.286,0.6,1.4,.418,.424,0.4,0.6,.583,0.6,1.0,1.6,1.9,0.9,0.3,0.6,0.6,3.1,,wrighde01
454,Delon Wright,32,MIL,PG,26,2,15.6,0.8,3.2,.268,0.5,1.9,.245,0.4,1.3,.303,.341,0.3,0.6,.563,0.6,1.2,1.8,1.8,0.9,0.3,0.5,0.7,2.5,,wrighde01
454,Delon Wright,32,NYK,PG,13,5,16.1,1.6,3.3,.488,0.6,1.6,.381,1.0,1.7,.591,.581,0.4,0.6,.625,0.8,0.6,1.4,2.0,0.8,0.2,0.6,0.5,4.2,,wrighde01
455,Kylor Kelley,27,2TM,C,10,2,11.1,1.3,2.1,.619,0.0,0.0,,1.3,2.1,.619,.619,0.5,0.8,.625,1.2,2.2,3.4,0.4,0.1,0.2,0.3,1.4,3.1,,kelleky01
455,Kylor Kelley,27,DAL,C,8,1,8.4,1.3,1.6,.769,0.0,0.0,,1.3,1.6,.769,.769,0.5,0.8,.667,1.0,1.6,2.6,0.3,0.0,0.3,0.1,1.0,3.0,,kelleky01
455,Kylor Kelley,27,NOP,C,2,1,22.0,1.5,4.0,.375,0.0,0.0,,1.5,4.0,.375,.375,0.5,1.0,.500,2.0,4.5,6.5,1.0,0.5,0.0,1.0,3.0,3.5,,kelleky01
456,Branden Carlson,25,OKC,C,31,0,6.7,1.1,2.5,.423,0.6,1.9,.345,0.4,0.6,.650,.551,0.3,0.5,.714,0.4,1.1,1.4,0.4,0.2,0.6,0.2,0.6,3.1,,carlsbr01
457,Jeenathan Williams,25,HOU,SG,19,0,7.1,1.3,3.0,.421,0.3,1.3,.208,1.0,1.7,.576,.465,0.3,0.4,.625,0.1,0.4,0.5,0.4,0.4,0.2,0.7,0.7,3.1,,willije02
458,Maxi Kleber,33,DAL,PF,34,4,18.7,1.1,2.8,.385,0.4,1.4,.265,0.7,1.4,.511,.453,0.5,0.6,.762,0.7,2.1,2.8,1.3,0.3,0.5,0.7,1.9,3.0,,klebima01
459,Taze Moore,26,POR,SG,2,0,10.0,1.0,5.0,.200,0.5,2.0,.250,0.5,3.0,.167,.250,0.5,1.0,.500,2.0,2.0,4.0,0.5,1.0,0.0,1.0,0.0,3.0,,mooreta02
460,Miles Norris,24,BOS,PF,2,0,11.5,1.0,3.0,.333,1.0,2.0,.500,0.0,1.0,.000,.500,0.0,0.0,,1.0,1.5,2.5,0.0,1.0,0.0,0.0,0.0,3.0,,norrimi01
461,Nae'Qwan Tomlin,24,CLE,PF,4,0,4.3,1.3,2.8,.455,0.0,0.5,.000,1.3,2.3,.556,.455,0.5,0.8,.667,0.8,1.5,2.3,0.0,0.0,0.0,0.3,0.8,3.0,,tomlina01
462,Jaylon Tyson,22,CLE,SG,46,2,8.8,1.1,2.7,.419,0.3,1.0,.348,0.8,1.7,.462,.484,0.3,0.4,.800,0.7,1.2,1.9,0.9,0.2,0.0,0.5,1.0,3.0,,tysonja01
463,Markelle Fultz,26,SAC,PG,20,0,8.6,1.3,3.2,.406,0.2,0.4,.500,1.1,2.8,.393,.438,0.1,0.1,1.000,0.3,0.6,0.9,1.2,0.5,0.1,0.7,0.6,2.9,,fultzma01
464,Taj Gibson,39,CHO,C,36,11,11.1,1.3,2.6,.489,0.0,0.1,.500,1.2,2.5,.489,.495,0.3,0.6,.600,1.3,1.9,3.2,0.5,0.3,0.5,0.7,1.5,2.9,,gibsota01
465,Gary Harris,30,ORL,SG,47,3,14.7,1.0,2.7,.364,0.7,2.1,.330,0.3,0.7,.469,.488,0.1,0.3,.583,0.4,0.9,1.3,0.6,0.5,0.3,0.3,1.0,2.8,,harriga01
466,Rayan Rupert,20,POR,SG,51,0,8.5,1.0,2.6,.402,0.3,1.0,.264,0.8,1.5,.494,.455,0.4,0.6,.759,0.5,0.7,1.2,0.5,0.3,0.1,0.5,0.6,2.8,,ruperra01
467,David Duke Jr.,25,SAS,SG,6,0,5.7,1.0,2.3,.429,0.5,1.0,.500,0.5,1.3,.375,.536,0.2,0.3,.500,0.2,0.7,0.8,0.7,0.2,0.0,0.3,0.2,2.7,,dukeda01
468,Lamar Stevens,27,MEM,PF,16,0,7.5,0.9,2.4,.395,0.4,1.2,.316,0.6,1.2,.474,.474,0.4,0.6,.778,0.2,1.8,2.0,0.3,0.3,0.2,0.4,0.8,2.7,,stevela01
469,Jaden Springer,22,2TM,SG,42,1,8.5,0.8,2.1,.393,0.3,1.1,.255,0.5,1.0,.548,.461,0.6,0.9,.711,0.4,0.9,1.3,0.8,0.6,0.1,0.4,1.0,2.6,,sprinja01
469,Jaden Springer,22,BOS,SG,26,0,5.4,0.5,1.3,.353,0.2,0.7,.316,0.2,0.6,.400,.441,0.6,0.8,.714,0.2,0.8,0.9,0.4,0.5,0.0,0.2,0.7,1.7,,sprinja01
469,Jaden Springer,22,UTA,PG,16,1,13.6,1.4,3.4,.418,0.4,1.8,.214,1.1,1.7,.630,.473,0.8,1.1,.706,0.8,1.2,2.0,1.4,0.8,0.2,0.7,1.6,4.0,,sprinja01
